0,1,1,0.0010089288
0,2,4,0.0010952929
0,5,8,0.0009365211
1,1,8,0.0035811309
1,3,5,0.0006643501
1,5,3,0.0007330606
2,2,3,4.577067e-05
2,4,1,0.025239222
2,5,7,0.0019431397
3,1,6,0.002137905
3,2,2,0.0014900239
3,3,6,0.001528203
3,5,8,0.0003330599
4,3,3,0.008090944
4,4,1,0.012985608
4,5,2,0.0029920365
5,1,2,0.020180454
5,4,9,0.0031814596
6,3,2,0.005060548
6,4,1,0.028764063
6,5,4,0.003435646
7,3,2,0.0011722881
7,4,7,0.0017023473
7,5,4,0.0008013292
8,1,3,0.0019486637
8,3,6,0.00198947
8,4,1,0.0077335075
9,2,1,0.004738447
9,4,8,0.0005230897
9,5,2,0.0029767489
