0,5,64,0.0024912991447516965
1,2,71,0.003268976859477505
1,5,67,0.0027748244652353636
2,3,65,0.0029967495575203514
3,2,72,0.0016814370718940019
3,5,67,0.0024541198753223865
4,1,64,0.003250335399449415
5,1,63,0.0025652445918063504
5,2,62,0.003446301666818172
5,4,66,0.0025571540504496252
6,2,60,0.003120212627018213
6,4,64,0.0015701678294304602
7,4,74,0.004296985876699904
7,5,69,0.0021172626994997155
8,3,68,0.0021657798457265817
8,5,59,0.002263224991258761
9,1,68,0.0027909663427082817
9,2,73,0.001854764966414641
