0,1,51,0.0030514511687620397
0,2,42,0.002682810450814115
0,3,26,0.0030564790788172188
0,4,51,0.0023970221246287487
1,1,33,0.004225583050784219
1,2,35,0.0048133067759315775
1,4,56,0.0018600933154216126
1,5,38,0.003946494684528247
2,1,43,0.002383864625874024
2,2,37,0.0043259341678326966
2,3,49,0.0037233404731382806
2,4,53,0.0031065604968241243
2,5,59,0.003325878732307052
3,1,35,0.0037423554040913213
3,2,61,0.001977346225730743
3,3,62,0.0015660678434142488
3,4,37,0.004214811443256401
3,5,38,0.0035251764424983176
4,1,53,0.003597487657140778
4,2,71,0.0027340552507863583
4,3,19,0.005252450370382927
4,4,35,0.003756660692349076
4,5,37,0.0027665351094663423
5,1,39,0.0032716722311042605
5,2,32,0.004513146125377764
5,3,44,0.003501397404056029
5,4,80,0.0021578138791794616
5,5,38,0.002102106266673877
6,1,59,0.0038329234698449557
6,2,37,0.00419025347424188
6,3,27,0.004656449579452517
6,4,47,0.0019253041831828234
6,5,40,0.003022212192799348
7,2,46,0.003215739911979435
7,3,42,0.0030464364271329467
7,4,56,0.005236769802028816
7,5,36,0.002749888892836177
8,1,47,0.003618141850093577
8,2,31,0.0037682701447525565
8,4,36,0.0036171458186123853
8,5,35,0.00281799922718464
9,1,43,0.0038558459961386066
9,2,46,0.0023804290245606832
9,3,63,0.0026689454349939487
9,4,28,0.006059332196388415
