0,1,9,0.007299133297702003
0,2,13,0.004546324253735011
0,3,38,0.002675652479905511
0,4,46,0.0024873418465117024
1,1,50,0.0032064180138349847
1,3,21,0.00416191939724516
1,4,25,0.002781810609930762
1,5,43,0.0037825517958880294
2,1,17,0.0033662677727504635
2,3,45,0.0037639640846445174
2,4,12,0.007137518344796668
2,5,21,0.005515643732892602
3,1,25,0.004484845301657032
3,3,16,0.003370950498266796
3,4,27,0.00494775142245498
3,5,22,0.004331651261536539
4,1,66,0.003202189418883881
4,2,16,0.00571094054316574
4,4,25,0.0057029525976929115
4,5,27,0.0031565532869071078
5,1,48,0.0031505480649206665
5,2,67,0.003252790812336837
5,3,22,0.004716859946484785
5,4,45,0.0033896188810769823
5,5,18,0.003629650885749693
6,1,6,0.009846558374292129
6,2,24,0.005627132023400144
6,4,57,0.0016833011040258412
6,5,30,0.0033908188532615732
7,1,21,0.003985070808094539
7,2,18,0.004187813309606758
7,4,28,0.0077230268056424824
7,5,21,0.0035895501128748535
8,1,54,0.0034422778527942884
8,2,23,0.004386235759940649
8,4,15,0.005602796284913297
8,5,22,0.0032104992726326165
9,1,55,0.003499790758084332
9,2,8,0.0034205841285557055
9,3,35,0.004205507448852143
9,4,59,0.004369430287152097
