0,1,6,0.007574811565791079
0,2,32,0.0032220935525702657
0,3,2,0.009511530069247888
0,4,2,0.007573948691471454
0,5,2,0.009577157477015721
1,1,2,0.010125879655325808
1,2,0,0.012603663013196091
1,3,35,0.0026777951133843073
1,4,8,0.004749651408036334
1,5,1,0.01175553653579304
2,1,7,0.0051764688650636805
2,2,3,0.009026993799918073
2,3,4,0.00849411400354798
2,4,46,0.003405199321901669
2,5,0,0.014041300163481573
3,1,15,0.005606108877803231
3,2,2,0.005803338569150628
3,3,5,0.005820477960528055
3,4,2,0.011982396044727173
3,5,4,0.009121772024450922
4,1,3,0.009585312270460021
4,2,6,0.00716097820471894
4,3,1,0.012312045723554993
4,4,9,0.007708733588695562
4,5,6,0.006750918170172446
5,1,9,0.00450111504661722
5,2,1,0.012234732238426088
5,3,7,0.008210792142506057
5,4,1,0.007123588072844921
5,5,24,0.0035168135072044964
6,1,5,0.010292498142678392
6,2,10,0.008566746013478536
6,3,3,0.007930322556895178
6,4,3,0.006700416850323318
6,5,4,0.007938861519939382
7,1,4,0.009271138173029188
7,2,4,0.0063005961794734625
7,3,5,0.007274893809709336
7,4,2,0.023233461713324213
7,5,14,0.00445491287722423
8,1,1,0.014686596036100305
8,2,1,0.013672930712954142
8,3,22,0.004401915410319833
8,4,2,0.012190639001094664
8,5,5,0.0058999808361176595
9,1,3,0.013747670112200431
9,2,1,0.007348108315998295
9,3,14,0.005736263967505975
9,4,1,0.014090042620359691
9,5,27,0.003678430283462493
