0,1,2,0.013292490184702492
0,3,4,0.007591533646228662
0,4,3,0.006845359364819076
0,5,6,0.008340935250720261
1,1,10,0.005181014872802723
1,2,8,0.007704320510687708
1,4,2,0.009860152280406048
1,5,6,0.007391320382061678
2,1,4,0.007752239549735309
2,2,1,0.014448995044387625
2,3,8,0.006944097614774167
2,4,28,0.004530836846747407
2,5,40,0.0040203219830754
3,1,3,0.015296861804495188
3,3,2,0.0075335757526058455
3,4,21,0.005749600895442613
3,5,3,0.009998924598626377
4,1,25,0.004384187425658929
4,2,58,0.0030856525047525925
4,3,4,0.00840426117740332
4,4,5,0.013192700825259094
4,5,4,0.008170963264275216
5,1,77,0.002259452273379041
5,2,19,0.005618536163916215
5,3,2,0.01180816579501986
5,4,28,0.0039022995330095117
5,5,7,0.00693790419767201
6,1,16,0.00812791229283367
6,2,6,0.010669169674022812
6,4,1,0.007520342875309317
6,5,3,0.008285671811827844
7,1,1,0.013011836429863822
7,2,3,0.006674680086920026
7,3,4,0.008033444109583543
7,5,2,0.010886291617648994
8,1,2,0.010229893757824002
8,3,2,0.012238193717405728
8,4,5,0.007760390365803952
8,5,4,0.006678890509256645
9,1,1,0.015995512741195327
9,2,72,0.001859601120688596
9,3,2,0.010593342263158487
9,4,4,0.011362257390555094
9,5,7,0.006859432111619428
