0,1,21,0.004972216946273653
0,2,45,0.0026307670171503736
0,3,56,0.002246215365550382
0,4,34,0.002914935768007851
0,5,47,0.003067914584449462
1,1,38,0.003748094051143072
1,2,38,0.004663217549019242
1,3,44,0.0024396826978141726
1,4,42,0.0021895159643464624
1,5,34,0.004045110656372829
2,1,36,0.002545023836675582
2,2,20,0.005738575612499772
2,3,52,0.0035788651365248093
2,5,38,0.004210507604573353
3,1,34,0.0037430681044770577
3,2,42,0.0023637264820345616
3,3,20,0.003004498809737767
3,4,55,0.003479589335516844
3,5,63,0.0026096548771333884
4,1,50,0.0036550569115339523
4,2,35,0.003945951207022474
4,3,47,0.0036735414824445216
4,4,16,0.006646607976997117
4,5,48,0.0025259613127151183
5,1,16,0.0036109641779243774
5,2,28,0.004832388025390664
5,3,49,0.0033020531459930836
5,4,17,0.004233920878754341
6,1,63,0.0037627909929262683
6,2,18,0.0064664673818807085
6,3,15,0.005209580822595708
6,4,36,0.0024026783344917907
6,5,47,0.0028448344646988563
7,1,59,0.0025365817755957044
7,2,22,0.0041024006079258294
7,3,24,0.0037157505274187422
7,5,28,0.003058077356659762
8,1,43,0.0038283023584882773
8,2,30,0.0037985489378789716
8,3,19,0.00449723139856948
8,4,48,0.00301705583301041
8,5,51,0.002387279004116608
9,1,53,0.0036136547918941696
9,2,36,0.002579813398788915
9,3,33,0.004286453703307396
9,4,43,0.005200610166879904
9,5,53,0.0021333830978165786
