0,1,12,0.006429879691100746
0,2,10,0.004973013927542675
0,3,13,0.0038792079646813417
0,4,28,0.003096182604493107
0,5,3,0.009500258519868037
1,2,47,0.004101909192220456
1,3,3,0.007997596655585892
1,4,7,0.005161890171636786
1,5,35,0.00404160226578154
2,1,3,0.009730666768315998
2,2,68,0.003222619838144212
2,3,19,0.004804254655166967
2,4,10,0.007219660493330333
2,5,61,0.003285204608976521
3,1,17,0.005025718439944097
3,2,1,0.007944618107265619
3,3,15,0.0034064186597687132
3,5,2,0.010033876769646089
4,1,1,0.00999325320721824
4,2,12,0.00593551165475385
4,3,11,0.0060977953282527215
4,5,11,0.0040118396540450565
5,1,6,0.0053723792705144486
5,3,16,0.005271247447159206
5,4,3,0.005930379641841678
5,5,2,0.010709656898878333
6,1,28,0.006404689924874941
6,2,8,0.009182807118074636
6,3,9,0.006203801875065619
6,4,49,0.0018890683993292442
6,5,53,0.002734469260879494
7,1,13,0.004552583263693374
7,2,1,0.00933974694918524
7,3,1,0.010073821608749391
8,1,18,0.004805661120174
8,2,22,0.004459459521280885
8,3,4,0.01030201848009568
8,4,60,0.0026879677944097197
8,5,2,0.007821849361807721
9,1,32,0.004617226051620059
9,2,12,0.00310184330060155
9,3,1,0.011097913537486776
9,4,71,0.0036541115416157547
9,5,8,0.0067756904566773244
